Protein_Name,Accession_Number
TolC,CAD6003274.1
AcrZ,VWQ01551.1
AcrR,CAM7858307.1
MarA,CAD6013869.1
MarR,CAD6013879.1
RamA,CAD6016219.1
SoxS,AMW89049.1
Rob,CAD6017604.1
EnvR,CAD6001772.1
AcrD,CAD6000925.1
AcrE,CAD5995424.1
AcrF,CAD5995417.1
MdtB,CAD6003569.1
MdtC,CAD6003562.1
